id,text,file,node,lineNumber
line:047081e,"*Die Haustür öffnet sich, Lucy kommt nach Hause*",Break,Break.Start,9
line:08e5ad9,Lucy: Hallo mein kleiner Pinguin!,Break,Break.Start,14
line:013af98,Lucy: Bin zuhause!,Break,Break.Start,15
line:016b83b,Lucy: Wie war dein Tag?,Break,Break.Start,19
line:0b62ac8,Phoebe: Beschissen.,Break,Break.Start,21
line:04208f0,"Lucy: Oh, Widdl Waddl, brauchst du ein paar Kuscheleinheiten?",Break,Break.Start,23
line:0279149,"Phoebe: Nein, lass das!",Break,Break.Start,25
line:0db76bd,Phoebe: Ich bin grad echt nicht in Stimmung dafür!,Break,Break.Start,26
line:08cd430,"Lucy: Okay, sorry. Ich wollte nur, dass du dich besser fühlst.",Break,Break.Start,28
line:0694ba0,Mo: Mau!,Break,Break.Start,32
line:0bbc15c,Lucy: Hey du kleiner Kater.,Break,Break.Start,34
line:09fcc5c,Lucy: Hast du Mo schon gefüttert?,Break,Break.Start,35
line:0aa17c2,Phoebe: Kannst du auch mal ruhig sein/die Klappe halten?,Break,Break.Start,37
line:0772976,"Phoebe: Warum wollen immer alle, dass ich irgendeinen blöden Scheiß für sie mache?",Break,Break.Start,38
line:04d4938,Phoebe: Wieso kannst du mich nicht einfach mal allein lassen?,Break,Break.Start,39
line:0d46fa5,Phoebe: Ich brauch einfach einen Moment zum Durchatmen.,Break,Break.Start,41
line:0bb1dbc,"Phoebe: Lass mir einfach etwas Freiraum, verdammt!",Break,Break.Start,43
line:0caa2e7,Lucy: Phoebs¦,Break,Break.Start,45
line:05e2318,Lucy: Ich wollte dich nicht bedrängen..,Break,Break.Start,46
line:0b0605d,Phoebe: Ja..,Break,Break.Start,48
line:0147f7f,"Phoebe: Aber das Problem ist, dass du <i>es tust</i>.",Break,Break.Start,50
line:05708d8,Phoebe: (...),Break,Break.Start,51
line:00aadf3,Lucy: (...),Break,Break.Start,52
line:00563d6,Phoebe: (............),Break,Break.Start,54
line:0059eea,ANSWER_HERE,Break,Break.Middle,82
line:093be0d,"Phoebe: Bitte, gib mir einfach 20 Minuten, um etwas runterzukommen..",Break,Break.Middle,86
line:0860d1b,"Phoebe: Ich liebe dich, Lucy. Es ist einfach.. alles ein bisschen zu viel momentan.",Break,Break.Middle,87
line:049804e,Lucy: Okay.,Break,Break.Middle,89
line:0fb8aa4,Lucy: Es ist okay.,Break,Break.Middle,90
line:04e6b19,Lucy: Ich verstehe dich.,Break,Break.Middle,91
line:03daf72,"Lucy: Lass uns reden, wenn du bereit bist.",Break,Break.Middle,92
line:02430db,"Phoebe: Ich liebe dich, Otter.",Break,Break.Middle,93
line:0130549,Lucy: Ich liebe dich auch.,Break,Break.Middle,94
line:004148b,Lucy: Tee?,Break,Break.Middle,95
line:00273ff,Phoebe: Das wäre fantastisch.,Break,Break.Middle,97
line:076a6d8,Phoebe: Danke dir.,Break,Break.Middle,98
line:03c0fa4,"Phoebe: Lass mich einfach in Ruhe, Lucy.",Break,Break.Middle,102
line:017276b,Lucy: ...,Break,Break.Middle,104
line:0c4e5b1,Lucy: Du kannst so stur sein..,Break,Break.Middle,106
