id,text,file,node,lineNumber
line:03e22d5,"Jeff: Hey, Phoebe. How are you?",Jeff,Jeff.Start,14
line:0487c1c,Phoebe: Hey. I'm…,Jeff,Jeff.Start,15
line:00b15b6,Mo: Mau,Jeff,Jeff.Start,20
line:0d22c3b,"Phoebe: Not now, Mo, you damn catboy! ...",Jeff,Jeff.Start,21
line:02ffe36,"Phoebe: Uhm, good. I guess.",Jeff,Jeff.Start,22
line:0934a1e,Jeff: Alright. Okay. I am calling because of the last article. It has come to my attention that you did not send it to me yet.,Jeff,Jeff.Start,23
line:05b8aa3,Mo: Mauuuuu,Jeff,Jeff.Start,25
line:0afc712,"Phoebe: Mo, I'm working. You get your food later! ...",Jeff,Jeff.Start,27
line:0bb78f1,"Phoebe: What did you say, Jeff?",Jeff,Jeff.Start,31
line:033ff2e,Jeff: You did not send me the proofreading.,Jeff,Jeff.Start,32
line:0d7beda,Phoebe: So...?,Jeff,Jeff.Start,33
line:0204e5e,Jeff: Could you please focus for a second! Do you have any problems with the text?,Jeff,Jeff.Start,35
line:05b936b,"Phoebe:  No, of course not. This is my fucking job. Why would I have any problems?",Jeff,Jeff.Start,36
line:0ac254d,"Jeff: Then, why did you not send the article to me? The deadline was yesterday. Are you just playing around at home, kid?",Jeff,Jeff.Start,37
line:09a0afe,Phoebe: Wha-,Jeff,Jeff.Start,38
line:0df4cc0,"Phoebe: Don't call me a fucking kid, Jeff.",Jeff,Jeff.Start,40
line:0929012,"Phoebe: No, it’s just...",Jeff,Jeff.Start,42
line:01d5d26,"Phoebe: (It's just what Phoebe? Shit, I just cursed. That's not good.)",Jeff,Jeff.Start,44
line:04ca1d0,Phoebe: It's just...     RGH),Jeff,Jeff.Start,45
line:0919d8f,ANSWER_HERE,Jeff,Jeff.End,70
line:0c66607,"Phoebe: The pandemic makes me feel like shit, but I’m, I’m really trying my best.",Jeff,Jeff.End,74
line:0cec219,Jeff: Hm… I see.,Jeff,Jeff.End,75
line:0065f5c,"Jeff: Good thing the pandemic originated from China, so it won't last long, haha...",Jeff,Jeff.End,77
line:0dc47dc,"Jeff: Ha... Uhm, but yeah...",Jeff,Jeff.End,78
line:05fb049,"Jeff: I know, the pandemic takes a toll on all of us. This article needs to be finished by tomorrow but let me know if you need any support. I think...",Jeff,Jeff.End,80
line:026eff9,"Jeff: Yeah, I could give Susanne parts of the article to read if that would help you.",Jeff,Jeff.End,81
line:0a22124,"Phoebe: No need to get racist, but...",Jeff,Jeff.End,83
line:059fc27,"Phoebe: Thanks, Jeff. That would actually be great. Your joke was still not funny though.",Jeff,Jeff.End,85
line:038c6aa,"Jeff: Alright, alright. I didn't mean it like that. Take care.",Jeff,Jeff.End,86
line:02b1fcd,Phoebe: Yeah. Bye.,Jeff,Jeff.End,88
line:00dff27,"Phoebe: But, yeah... It's almost done anyways, so...",Jeff,Jeff.End,92
line:070ed92,"Jeff: Hm. I get this, but maybe push a little harder.",Jeff,Jeff.End,93
line:08d97d4,Phoebe: I don’t think...,Jeff,Jeff.End,94
line:08e7709,Phoebe: forget it.,Jeff,Jeff.End,96
line:00bb284,"Jeff: Well, I can give you until tomorrow.",Jeff,Jeff.End,97
line:0ff3719,Jeff: But I need you to organize a little better. Lately this happens more often.,Jeff,Jeff.End,99
line:0332bc7,"Jeff: We can’t get lazy just because we're home alone, Phoebe.",Jeff,Jeff.End,100
line:08b48a1,"Phoebe: Sure, Jeff. I'll send it to you tomorrow.",Jeff,Jeff.End,101
line:0544b40,Jeff: Alright. Good luck!,Jeff,Jeff.End,103
line:0990b00,"Phoebe: If you wouldn't constantly be bugging me about this, it might have been finished already. Alright?!",Jeff,Jeff.End,107
line:0ab4a0e,Jeff: Ey! No need to get cocky with me.,Jeff,Jeff.End,109
line:0ab613f,Jeff: You millenials always think you can just start whining and push your responsibilities onto someone else.,Jeff,Jeff.End,110
line:0c3e313,Jeff: Your projects have been late for a whole month! A <i>month!</i>,Jeff,Jeff.End,111
line:0adbab9,"Jeff: Get your shit together, Phoebe, or your behavior will have serious consequences.",Jeff,Jeff.End,112
line:00e24a8,Phoebe: Sure. Whatever.,Jeff,Jeff.End,114
